user_id,month,category,total_spent,is_holiday_month,last_month_spent,rolling_mean
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-09,Box,-90.0,0,0.0,-90.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-11,Box,-50.0,0,-90.0,-70.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-12,Box,-50.0,1,-50.0,-63.333333333333336
24216e81-2fc1-4de0-8a64-ae0727f84b60,2025-02,Box,-50.0,0,-50.0,-50.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-03,Cafe,-2004.0,1,0.0,-2004.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-04,Cafe,-4418.6,0,-2004.0,-3211.3
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-05,Cafe,-7134.0,0,-4418.6,-4518.866666666667
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-06,Cafe,-970.0,0,-7134.0,-4174.2
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-07,Cafe,-1420.0,0,-970.0,-3174.6666666666665
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-08,Cafe,-1252.0,0,-1420.0,-1214.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-09,Cafe,-3399.0,0,-1252.0,-2023.6666666666667
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-10,Cafe,-2753.0,0,-3399.0,-2468.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-11,Cafe,-8754.3,0,-2753.0,-4968.766666666666
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-12,Cafe,-3345.0,1,-8754.3,-4950.766666666666
24216e81-2fc1-4de0-8a64-ae0727f84b60,2025-01,Cafe,-5621.68,1,-3345.0,-5906.993333333333
24216e81-2fc1-4de0-8a64-ae0727f84b60,2025-02,Cafe,-1700.0,0,-5621.68,-3555.56
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-05,Car,-20.0,0,0.0,-20.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-11,Car,-2915.0,0,-20.0,-1467.5
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-12,Car,-6908.4,1,-2915.0,-3281.133333333333
24216e81-2fc1-4de0-8a64-ae0727f84b60,2025-01,Car,-8871.789999999999,1,-6908.4,-6231.73
24216e81-2fc1-4de0-8a64-ae0727f84b60,2025-02,Car,-4465.82,0,-8871.789999999999,-6748.669999999999
24216e81-2fc1-4de0-8a64-ae0727f84b60,2025-01,Charity,-12.0,1,0.0,-12.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2025-02,Charity,-269.0,0,-12.0,-140.5
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-07,Cinema,-198.0,0,0.0,-198.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-11,Cinema,-960.0,0,-198.0,-579.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-08,Entertainment,-496.39,0,0.0,-496.39
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-11,Entertainment,-104.0,0,-496.39,-300.195
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-06,Flat Bills,-841.52,0,0.0,-841.52
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-07,Flat Bills,-2736.9,0,-841.52,-1789.21
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-08,Flat Bills,-2869.94,0,-2736.9,-2149.4533333333334
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-09,Flat Bills,-2465.84,0,-2869.94,-2690.8933333333334
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-10,Flat Bills,-5080.32,0,-2465.84,-3472.0333333333333
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-11,Flat Bills,-2424.16,0,-5080.32,-3323.44
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-12,Flat Bills,-6135.679999999999,1,-2424.16,-4546.72
24216e81-2fc1-4de0-8a64-ae0727f84b60,2025-01,Flat Bills,-8303.49,1,-6135.679999999999,-5621.11
24216e81-2fc1-4de0-8a64-ae0727f84b60,2025-02,Flat Bills,-4147.95,0,-8303.49,-6195.706666666666
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-06,Flowers,-870.0,0,0.0,-870.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-11,Flowers,-20.0,0,-870.0,-445.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-03,Gas,-678.83,1,0.0,-678.83
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-04,Gas,-1100.15,0,-678.83,-889.49
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-05,Gas,-4477.21,0,-1100.15,-2085.396666666667
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-06,Gas,-355.9,0,-4477.21,-1977.753333333333
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-07,Gas,-1674.93,0,-355.9,-2169.3466666666664
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-08,Gas,-1982.31,0,-1674.93,-1337.7133333333334
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-10,Gas,-599.78,0,-1982.31,-1419.0066666666664
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-11,Gas,-8962.24,0,-599.78,-3848.11
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-12,Gas,-1058.79,1,-8962.24,-3540.2700000000004
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-03,Income,4546.8,1,0.0,4546.8
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-04,Income,25857.89,0,4546.8,15202.345
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-05,Income,43427.58,0,25857.89,24610.756666666668
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-06,Income,38615.11,0,43427.58,35966.86
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-07,Income,47309.46,0,38615.11,43117.38333333333
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-08,Income,66201.56,0,47309.46,50708.71
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-09,Income,39506.63,0,66201.56,51005.88333333333
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-10,Income,61011.91,0,39506.63,55573.36666666667
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-11,Income,53768.0,0,61011.91,51428.84666666667
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-12,Income,50009.42,1,53768.0,54929.776666666665
24216e81-2fc1-4de0-8a64-ae0727f84b60,2025-01,Income,54036.9,1,50009.42,52604.77333333334
24216e81-2fc1-4de0-8a64-ae0727f84b60,2025-02,Income,34999.09,0,54036.9,46348.469999999994
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-06,Loans,-200.0,0,0.0,-200.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-03,Medicine,-205.0,1,0.0,-205.0
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-04,Medicine,-1715.55,0,-205.0,-960.275
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-05,Medicine,-1350.71,0,-1715.55,-1090.42
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-06,Medicine,-2073.25,0,-1350.71,-1713.17
24216e81-2fc1-4de0-8a64-ae0727f84b60,2024-07,Medicine,-790.04,0,-2073.25,-1404.6666666666667
