user_id,created_at,category,amount
user_1,2024-01-09 08:02:32,Shopping,-369.78
user_1,2024-01-12 09:42:30,Cinema,-53.15
user_1,2024-01-22 03:36:17,Withdrawal,-266.07
user_1,2024-01-29 09:19:35,Subscriptions,-193.8
user_1,2024-01-13 03:19:43,Flat Bills,-477.97
user_1,2024-01-15 10:23:30,Medicine,-169.5
user_1,2024-01-27 01:37:44,Charity,-413.47
user_1,2024-01-21 15:20:47,Phone Bills,-459.81
user_1,2024-01-25 21:36:14,Rent,-443.0
user_1,2024-01-27 18:12:46,Other,-185.08
user_1,2024-01-24 18:12:24,Taxes,-198.86
user_1,2024-01-02 12:58:53,Taxi,-107.77
user_1,2024-01-24 18:01:48,Entertainment,-187.21
user_1,2024-01-06 20:42:33,Pets,-446.45
user_1,2024-01-06 22:42:29,Sport,-472.65
user_1,2024-01-04 12:34:54,Gas,-87.65
user_1,2024-01-18 20:38:53,Income,276.29
user_1,2024-01-21 00:58:02,Car,-77.86
user_1,2024-01-26 02:29:47,Transfer,-438.5
user_1,2024-01-17 18:23:41,Services,-18.73
user_1,2024-01-12 18:48:13,Supermarkets,-205.58
user_1,2024-01-04 02:30:59,Savings,-292.28
user_1,2024-01-05 13:40:09,Present,-293.77
user_1,2024-01-29 09:59:51,Loans,-51.62
user_1,2024-01-13 12:49:40,Payments by details,-317.38
user_1,2024-01-16 11:10:23,Flowers,-218.79
user_1,2024-01-06 14:10:13,Box,-331.28
user_1,2024-01-27 12:48:18,Cafe,-239.09
user_1,2024-02-03 22:18:57,Shopping,-405.25
user_1,2024-02-04 10:36:11,Cinema,-105.86
user_1,2024-02-23 07:05:32,Withdrawal,-415.29
user_1,2024-02-20 06:55:26,Subscriptions,-202.78
user_1,2024-02-20 03:53:53,Flat Bills,-31.79
user_1,2024-02-06 09:21:07,Medicine,-242.17
user_1,2024-02-25 19:50:05,Charity,-477.83
user_1,2024-02-04 12:02:18,Phone Bills,-498.14
user_1,2024-02-09 19:15:35,Rent,-455.7
user_1,2024-02-17 11:30:19,Other,-72.41
user_1,2024-02-23 11:41:09,Taxes,-133.21
user_1,2024-02-05 08:52:34,Taxi,-136.45
user_1,2024-02-26 02:17:57,Entertainment,-271.2
user_1,2024-02-11 07:58:47,Pets,-208.61
user_1,2024-02-08 10:57:30,Sport,-460.17
user_1,2024-02-05 23:16:49,Gas,-81.69
user_1,2024-02-05 00:22:10,Income,302.95
user_1,2024-02-17 09:30:13,Car,-214.68
user_1,2024-02-09 08:27:50,Transfer,-118.27
user_1,2024-02-29 13:16:17,Services,-478.97
user_1,2024-02-14 19:57:32,Supermarkets,-240.28
user_1,2024-02-25 20:52:41,Savings,-248.0
user_1,2024-02-27 20:40:27,Present,-327.25
