,sheet_id,category_id,year_month,total_spent,total_spent_in_sheet_last_month,total_spent_in_sheet_last_3_months,average_spent_in_sheet_last_6_months,sheet_spending_trend,total_spent_in_category_last_month,total_spent_in_category_last_3_months,average_spent_in_category_last_6_months,category_spending_trend,category_spent_percentage_last_month,category_spent_percentage_trend,most_frequent_spending_category_in_sheet,most_expensive_category_last_month_in_sheet,least_expensive_category_last_month_in_sheet
0,283991f1-be49-4ca9-a31f-e4b28175854d,7b99f03f-4c9c-4866-b27c-29c6dae0f773,2024-01-01,4939,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,c1ca9593-7416-4ba6-a5ad-8f9220ad7536,30697b6e-1444-413c-862e-40af11aba86b,fbd721e7-4e56-45af-82d4-832bf7eb9bd3
1,283991f1-be49-4ca9-a31f-e4b28175854d,3d921cc9-3c96-4a42-a84a-622177addb55,2024-01-01,309,7064.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,6de44045-77c4-4366-a4f2-dc61e5ab22be,30697b6e-1444-413c-862e-40af11aba86b,c1ca9593-7416-4ba6-a5ad-8f9220ad7536
2,283991f1-be49-4ca9-a31f-e4b28175854d,30697b6e-1444-413c-862e-40af11aba86b,2024-01-01,257,7064.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,6de44045-77c4-4366-a4f2-dc61e5ab22be,7b99f03f-4c9c-4866-b27c-29c6dae0f773,7b99f03f-4c9c-4866-b27c-29c6dae0f773
3,283991f1-be49-4ca9-a31f-e4b28175854d,c1ca9593-7416-4ba6-a5ad-8f9220ad7536,2024-01-01,714,7064.0,21192.0,0.0,0,0.0,0.0,0.0,0,0.0,0,30697b6e-1444-413c-862e-40af11aba86b,30697b6e-1444-413c-862e-40af11aba86b,6de44045-77c4-4366-a4f2-dc61e5ab22be
4,283991f1-be49-4ca9-a31f-e4b28175854d,6de44045-77c4-4366-a4f2-dc61e5ab22be,2024-01-01,845,7064.0,21192.0,0.0,0,0.0,0.0,0.0,0,0.0,0,6de44045-77c4-4366-a4f2-dc61e5ab22be,30697b6e-1444-413c-862e-40af11aba86b,7b99f03f-4c9c-4866-b27c-29c6dae0f773
5,283991f1-be49-4ca9-a31f-e4b28175854d,6de44045-77c4-4366-a4f2-dc61e5ab22be,2024-02-01,917,7064.0,21192.0,0.0,-1,845.0,0.0,0.0,1,0.11962061155152888,0,30697b6e-1444-413c-862e-40af11aba86b,3d921cc9-3c96-4a42-a84a-622177addb55,3d921cc9-3c96-4a42-a84a-622177addb55
6,283991f1-be49-4ca9-a31f-e4b28175854d,3d921cc9-3c96-4a42-a84a-622177addb55,2024-02-01,360,1589.0,15717.0,6151.5,0,309.0,0.0,0.0,1,0.19446192573945878,0,30697b6e-1444-413c-862e-40af11aba86b,30697b6e-1444-413c-862e-40af11aba86b,3d921cc9-3c96-4a42-a84a-622177addb55
7,283991f1-be49-4ca9-a31f-e4b28175854d,30697b6e-1444-413c-862e-40af11aba86b,2024-02-01,187,1589.0,10242.0,5239.0,0,257.0,0.0,0.0,-1,0.1617369414726243,0,fbd721e7-4e56-45af-82d4-832bf7eb9bd3,6de44045-77c4-4366-a4f2-dc61e5ab22be,3d921cc9-3c96-4a42-a84a-622177addb55
8,283991f1-be49-4ca9-a31f-e4b28175854d,c1ca9593-7416-4ba6-a5ad-8f9220ad7536,2024-02-01,125,1589.0,4767.0,4326.5,0,714.0,0.0,0.0,-1,0.44933920704845814,0,30697b6e-1444-413c-862e-40af11aba86b,7b99f03f-4c9c-4866-b27c-29c6dae0f773,3d921cc9-3c96-4a42-a84a-622177addb55
9,283991f1-be49-4ca9-a31f-e4b28175854d,6de44045-77c4-4366-a4f2-dc61e5ab22be,2024-03-01,856,1589.0,4767.0,3414.0,1,917.0,0.0,0.0,-1,0.5770925110132159,1,6de44045-77c4-4366-a4f2-dc61e5ab22be,3d921cc9-3c96-4a42-a84a-622177addb55,7b99f03f-4c9c-4866-b27c-29c6dae0f773
